Codebook 2020,,,,,,,,,,,,,,
Variable,Type,Description and Labels,Response Codes,Section,Availability,Template,Notes,Preserved,Handle1,Target1,Handle2,Target2,Special mapping,NaiveScale
NHAFBATH,Num,Number of half bathrooms (top-coded),0 - 2,YOUR HOME,Imputable,Building,Numerical,1,,,,,,1
OTHROOMS,Num,Number of other rooms (top-coded),1 - 9,YOUR HOME,Imputable,Building,Numerical,1,,,,,,1
TOTROOMS,Num,"Total number of rooms in the housing unit, excluding bathrooms; a derived variable",1-15,YOUR HOME,Imputable,Building,Numerical,1,,,,,,1
STUDIO,Num,Studio apartment; a derived variable,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Building,Categorical,0,,,,,,
WALLTYPE,Num,Major outside wall material,"1 Brick
2 Wood
3 Siding (aluminum, fiber cement, vinyl, or steel) 
4 Stucco
5 Shingle (composition)
6 Stone 
7 Concrete block 
99 Other",YOUR HOME,,Construction,Categorical,1,,,,,,
ROOFTYPE,Num,Major roofing material; 'Not applicable' applies to apartment buildings with 5 or more units,"1 Ceramic or clay tiles
2 Wood shingles/shakes
3 Metal
4 Slate or synthetic slate
5 Shingles (composition or asphalt)
6 Concrete tiles
99 Other
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,,,,,,
HIGHCEIL,Num,Any high ceilings; 'Not applicable' applies to mobile homes,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,-2,0,,,,
DOOR1SUM,Num,Number of sliding glass or French doors,0 - 9,YOUR HOME,,Construction,Numerical,1,,,,,,
WINDOWS,Num,Number of windows,"1 1 or 2 windows
2 3 to 5 windows
3 6 to 9 windows
4 10 to 15 windows
5 16 to 19 windows
6 20 to 29 windows
7 30 or more windows",YOUR HOME,Imputable,Construction,Numerical,1,,,,,1,1
TYPEGLASS,Num,Type of glass in most windows,"1 Single-pane glass
2 Double-pane glass
3 Triple-pane glass",YOUR HOME,,Construction,Numerical,1,,,,,,1
ORIGWIN,Num,Mostly original windows in home,"1 Yes
0 No",YOUR HOME,,Construction,Categorical,1,,,,,,
WINFRAME,Num,Window frame material,"1 Wood
2 Metal (aluminum)
3 Vinyl
4 Composite
5 Fiberglass",YOUR HOME,,Construction,Categorical,1,,,,,,
TREESHAD,Num,Any large shade trees,"1 Yes
0 No",YOUR HOME,,Construction,Categorical,1,,,,,,
ADQINSUL,Num,Level of insulation; respondent-reported,"1 Well insulated
2 Adequately insulated
3 Poorly insulated
4 Not insulated",YOUR HOME,,Construction,Numerical,1,,,,,,1
DRAFTY,Num,How often home is drafty,"1 All the time
2 Most of the time
3 Some of the time
4 Never",YOUR HOME,,Heating,Numerical,1,,,,,,1
UGASHERE,Num,Natural gas available in neighborhood; respondent-reported,"1 Yes
0 No",YOUR HOME,,Heating,Categorical,1,,,,,,
SWIMPOOL,Num,Has swimming pool,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,DHW,Categorical,1,-2,0,,,,
MONPOOL,Num,Months swimming pool used in the past year,"0 - 12
-2  Not applicable",YOUR HOME,,DHW,Numerical,1,-2,0,,,,1
POOLPUMP,Num,Has variable-speed pool pump,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,DHW,Categorical,1,-2,0,,,,
FUELPOOL,Num,Fuel used for heating swimming pool,"0 None, swimming pool is not heated
5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
99 Other 
-2 Not applicable",YOUR HOME,,DHW,Categorical,1,-2,0,,,,
RECBATH,Num,Have hot tub,"1 Yes
0 No",YOUR HOME,,DHW,Categorical,1,,,,,,
MONTUB,Num,Months hot tub used in the past year,"0 - 12
-2  Not applicable",YOUR HOME,,DHW,Numerical,1,-2,0,,,,1
FUELTUB,Num,Fuel used for heating hot tub,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
99 Other 
-2 Not applicable",YOUR HOME,,DHW,Categorical,1,,,,,,
NUMFRIG,Num,Number of refrigerators used,0 - 9,APPLIANCES,,Fridge,Numerical,1,,,,,,
SIZRFRI1,Num,Size of most-used refrigerator,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES,,Fridge,Numerical,1,-2,0,,,,1
TYPERFR1,Num,Door arrangement of most-used refrigerator,"1 One door
2 Two doors, freezer next to the refrigerator
3 Two doors, freezer above the refrigerator
4 Two doors, freezer below the refrigerator
5 Three or more doors 
-2 Not applicable",APPLIANCES,,Fridge,Numerical,1,,,,,1,1
AGERFRI1,Num,Age of most-used refrigerator,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,,Fridge,Numerical,1,,,,,1,1
ICE,Num,Have through-the-door ice on most-used refrigerator,"1 Yes
0 No
-2 Not applicable",APPLIANCES,,Fridge,Categorical,1,-2,0,,,,
SIZRFRI2,Num,Size of second-most-used refrigerator,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES,,Fridge,Numerical,1,-2,0,,,,1
TYPERFR2,Num,Door arrangement of second-most-used refrigerator,"1 One door
2 Two doors, freezer next to the refrigerator
3 Two doors, freezer above the refrigerator
4 Two doors, freezer below the refrigerator
5 Three or more doors 
-2 Not applicable",APPLIANCES,,Fridge,Numerical,1,,,,,1,1
AGERFRI2,Num,Age of second-most-used refrigerator,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,,Fridge,Numerical,1,,,,,1,1
LOCRFRI2,Num,Location of second-most-used refrigerator,"1 Basement
2 Garage
3 Outside
4 Main living area
99 Other 
-2 Not applicable",APPLIANCES,,Fridge,Categorical,1,,,,,,
WINECHILL,Num,Has wine chiller,"1 Yes
0 No",APPLIANCES,,Fridge,Categorical,1,,,,,,
NUMFREEZ,Num,Number of separate freezers used,0 - 8,APPLIANCES,,Fridge,Numerical,1,,,,,,
UPRTFRZR,Num,Door arrangement of most-used freezer,"1 Upright
2 Chest
-2 Not applicable",APPLIANCES,,Fridge,Categorical,1,,,,,,
SIZFREEZ,Num,Size of most-used freezer,"1 Half-size or compact
2 Small (17.5 cubic feet or less)
3 Medium (17.6 to 22.5 cubic feet)
4 Large (22.6 to 29.5 cubic feet)
5 Very large (bigger than 29.5 cubic feet)
-2 Not applicable",APPLIANCES,,Fridge,Numerical,1,-2,0,,,,1
FREEZER,Num,Defrosting type of most-used freezer,"1 Manual
2 Automatic
-2 Not applicable",APPLIANCES,,Fridge,Categorical,1,,,,,,
AGEFRZR,Num,Age of most-used freezer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,,Fridge,Numerical,1,,,,,1,1
RANGE,Num,Number of ranges (single appliance with both a cooktop and an oven),0 - 2,APPLIANCES,,Catering,Numerical,1,,,,,,
COOKTOP,Num,Number of separate cooktops,0 - 2,APPLIANCES,,Catering,Numerical,1,,,,,,
OVEN,Num,Number of wall ovens,0 - 3,APPLIANCES,,Catering,Numerical,1,,,,,,
RANGEFUEL,Num,Fuel used by range,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
13 Electricity and gas (dual-fuel range) 
-2 Not applicable",APPLIANCES,,Catering,Categorical,1,,,,,,
RANGEINDT,Num,Range has induction cooktop,"1 Yes
0 No
-2 Not applicable",APPLIANCES,,Catering,Categorical,1,-2,0,,,,
RCOOKUSE,Num,Frequency of use of cooktop part of range per week,"0 - 21
-2  Not applicable",APPLIANCES,,Catering,Numerical,1,-2,0,,,,1
ROVENUSE,Num,Frequency of use of oven part of range per week,"0 - 21
-2  Not applicable",APPLIANCES,,Catering,Numerical,1,-2,0,,,,1
COOKTOPFUEL,Num,Fuel used by separate cooktop,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES,,Catering,Categorical,1,,,,,,
COOKTOPINDT,Num,Separate cooktop is induction,"1 Yes
0 No
-2 Not applicable",APPLIANCES,,Catering,Categorical,1,-2,0,,,,
COOKTOPUSE,Num,Frequency of separate cooktop use per week,"0 - 21
-2  Not applicable",APPLIANCES,,Catering,Numerical,1,-2,0,,,,1
OVENFUEL,Num,Fuel used by wall oven,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES,,Catering,Categorical,1,,,,,,
OVENUSE,Num,Frequency of wall oven use per week,"0 - 21
-2  Not applicable",APPLIANCES,,Catering,Numerical,1,-2,0,,,,1
MICRO,Num,Number of microwaves ,0 - 3,APPLIANCES,,Catering,Numerical,1,,,,,,
AMTMICRO,Num,Frequency of microwave use per week,"0 - 70
-2  Not applicable",APPLIANCES,,Catering,Numerical,1,-2,0,,,,1
OUTGRILLFUEL,Num,Fuel used by outdoor grill,"1 Yes, natural gas grill
2 Yes, propane grill
23 Yes, charcoal grill
-2 No grill (Not applicable)",APPLIANCES,,Catering,Categorical,1,,,,,,
OUTGRILL,Num,Outdoor grill used; a derived variable,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
NUMMEAL,Num,Frequency hot meals are cooked,"1 Three or more times a day
2 Two times a day
3 Once a day
4 A few times each week
5 About once a week
6 Less than once a week
0 Never",APPLIANCES,,Catering,Numerical,1,,,,,1,1
USECOFFEE,Num,How often electric coffee maker is used per week,"1 Every day or almost every day
2 A few times each week
3 Only occasionally
0 Does not have or does not use coffee maker in home",APPLIANCES,,Catering,Numerical,1,,,,,1,1
TOAST,Num,Toaster used at least once per week,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
TOASTOVN,Num,Toaster oven used at least once per week,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
CROCKPOT,Num,Crock-Pot or slow cooker used at least once per week,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
PRSSCOOK,Num,Instant Pot or electric pressure cooker used at least once per week,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
RICECOOK,Num,Rice cooker used at least once per week,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
BLENDER,Num,Blender or juicer used at least once per week,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
APPOTHER,Num,Any other small kitchen appliance used at least once per week,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
ELFOOD,Num,Electricity used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
LPCOOK,Num,Propane used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
UGCOOK,Num,Natural gas used for cooking; a derived variable,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
DISHWASH,Num,Has dishwasher,"1 Yes
0 No",APPLIANCES,,Catering,Categorical,1,,,,,,
DWASHUSE,Num,Frequency of dishwasher use per week,"0 - 21
-2  Not applicable",APPLIANCES,,Catering,Numerical,1,-2,0,,,,1
DWCYCLE,Num,Dishwasher cycle type,"1 Normal cycle without heated dry
2 Normal cycle with heated dry
3 Heavy or “pots and pans” cycle
4 Light or delicate cycle
5 Energy saver cycle
6 Quick cycle
-2 Not applicable",APPLIANCES,,Catering,Categorical,1,,,,,,
AGEDW,Num,Age of dishwasher,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,,Catering,Numerical,1,,,,,1,1
CWASHER,Num,Has clothes washer in home,"1 Yes
0 No",APPLIANCES,,Housework,Categorical,1,,,,,,
TOPFRONT,Num,Top- or front-loading clothes washer,"1 Top-loading
2 Front-loading
-2 Not applicable",APPLIANCES,,Housework,Categorical,1,,,,,,
WASHLOAD,Num,Frequency of clothes washer use per week,"0 - 30
-2  Not applicable",APPLIANCES,,Housework,Numerical,1,-2,0,,,,1
WASHTEMP,Num,Water temperature used for clothes washer wash cycle,"1 Hot
2 Warm
3 Cold 
-2 Not applicable",APPLIANCES,,Housework,Categorical,1,,,,,,
AGECWASH,Num,Age of clothes washer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,,Housework,Numerical,1,,,,,1,1
DRYER,Num,Has clothes dryer in home,"1 Yes
0 No",APPLIANCES,,Housework,Categorical,1,,,,,,
DRYRFUEL,Num,Fuel used by clothes dryer,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
-2 Not applicable",APPLIANCES,,Housework,Categorical,1,,,,,,
DRYRUSE,Num,Frequency of clothes dryer use per week,"0 - 30
-2  Not applicable",APPLIANCES,,Housework,Numerical,1,-2,0,,,,
AGECDRYER,Num,Age of clothes dryer,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",APPLIANCES,,Housework,Numerical,1,,,,,1,1
TVCOLOR,Num,Number of televisions used,0 - 14,ELECTRONICS,,TV,Numerical,1,,,,,,
TVSIZE1,Num,Size of most-used TV,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
TVTYPE1,Num,Display type of most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS,,TV,Categorical,1,,,,,,
TVUSE1,Num,Main use of most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS,,TV,Categorical,1,,,,,,
TVONWD1,Num,Most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
TVONWE1,Num,Most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
TVSIZE2,Num,Size of second-most-used TV,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
TVTYPE2,Num,Display type of second-most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS,,TV,Categorical,1,,,,,,
TVUSE2,Num,Main use of second-most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS,,TV,Categorical,1,,,,,,
TVONWD2,Num,Second-most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
TVONWE2,Num,Second-most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
TVSIZE3,Num,Third-most-used TV size,"1 27 inches or less
2 28 to 39 inches
3 40 to 59 inches
4 60 inches or more
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
TVTYPE3,Num,Display type of third-most-used TV,"1 LED or OLED
2 LCD
3 Plasma
4 Projection
5 Tube (non-flat screen)
-2 Not applicable",ELECTRONICS,,TV,Categorical,1,,,,,,
TVUSE3,Num,Main use of third-most-used TV,"1 Watching live programming
2 Watching recorded or on-demand programming from a set-top box
3 Streaming content via built-in smart TV apps
4 Streaming content via a separate streaming device connected to the television
5 Playing video games
99 Other 
-2 Not applicable",ELECTRONICS,,TV,Categorical,1,,,,,,
TVONWD3,Num,Third-most-used TV usage on weekdays in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
TVONWE3,Num,Third-most-used TV usage on weekends in hours per day,"0-24 (whole numbers)
0.5 Less than one hour
-2 Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,1
CABLESAT,Num,Number of cable or satellite boxes without DVR used,"0 - 12
-2  Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,
COMBODVR,Num,Number of cable or satellite boxes with DVR used,"0 - 10
-2  Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,
SEPDVR,Num,Number of separate DVRs used,"0 - 6
-2  Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,
INTSTREAM,Num,Number of over-the-top internet streaming devices for TV used,"0 - 10
-2  Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,
PLAYSTA,Num,Number of video game consoles used,"0 - 8
-2  Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,
DVD,Num,Number of DVD or Blu-ray players used,"0 - 6
-2  Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,
VCR,Num,Number of VCRs used,"0 - 5
-2  Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,
TVAUDIOSYS,Num,Number of home theater or audio systems used,"0 - 5
-2  Not applicable",ELECTRONICS,,TV,Numerical,1,-2,0,,,,
DESKTOP,Num,Number of desktop computers used,0 - 8,ELECTRONICS,,PC,Numerical,1,,,,,,
NUMLAPTOP,Num,Number of laptop computers used,0 - 20,ELECTRONICS,,PC,Numerical,1,,,,,,
NUMTABLET,Num,Number of tablet computers or e-readers used,0 - 10,ELECTRONICS,,PC,Numerical,1,,,,,,
ELPERIPH,Num,"Number of printers, scanners, fax machines, or copiers used",0 - 10,ELECTRONICS,,PC,Numerical,1,,,,,,
NUMSMPHONE,Num,Number of smartphones used,0 - 11,ELECTRONICS,,PC,Numerical,1,,,,,,
CELLPHONE,Num,Number of other cell phones used,0 - 12,ELECTRONICS,,PC,Numerical,1,,,,,,
TELLWORK,Num,Any household member teleworking,"1 Yes
0 No",ELECTRONICS,,PC,Categorical,1,,,,,,
TELLDAYS,Num,Number of days teleworking in the past week,"0 - 7
-2  Not applicable",ELECTRONICS,,PC,Numerical,1,-2,0,,,,1
TLDESKTOP,Num,Desktop computer used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,PC,Categorical,1,-2,0,,,,
TLLAPTOP,Num,Laptop computer used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,PC,Categorical,1,-2,0,,,,
TLTABLET,Num,Tablet used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,PC,Categorical,1,-2,0,,,,
TLMONITOR,Num,External monitor used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,PC,Categorical,1,-2,0,,,,
TLOTHER,Num,Any other computer equipment used for teleworking,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,PC,Categorical,1,-2,0,,,,
ONLNEDUC,Num,Any household member receiving online K-12 distance learning or online college courses,"1 Yes
0 No",ELECTRONICS,,Internet,Categorical,1,,,,,,
INTERNET,Num,Internet access at home,"1 Yes, by paying a cell phone company or Internet service provider
2 Yes, without paying a cell phone company or Internet service provider
0 No access to the Internet",ELECTRONICS,,Internet,Categorical,1,,,,,,
INTYPECELL,Num,Have Internet access using cellular data,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,Internet,Categorical,1,-2,0,,,,
INTYPEBROAD,Num,Have Internet access using broadband service,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,Internet,Categorical,1,-2,0,,,,
INTYPEOTH,Num,"Have Internet access using satellite, dial-up, or other service","1 Yes
0 No
-2 Not applicable",ELECTRONICS,,Internet,Categorical,1,-2,0,,,,
SMARTSPK,Num,Number of smart speakers,"0 - 9
-2  Not applicable",ELECTRONICS,,PC,Numerical,1,-2,0,,,,
SSLIGHT,Num,Use smart speakers to control lighting,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,Lighting,Categorical,1,-2,0,,,,
SSTEMP,Num,Use smart speakers to control temperature,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,Heating,Categorical,1,-2,0,,,,
SSSECURE,Num,"Use smart speakers to control security system, cameras, or locks","1 Yes
0 No
-2 Not applicable",ELECTRONICS,,PC,Categorical,1,-2,0,,,,
SSTV,Num,Use smart speakers to control TV or peripherals,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,TV,Categorical,1,-2,0,,,,
SSOTHER,Num,Use smart speakers to control some other device,"1 Yes
0 No
-2 Not applicable",ELECTRONICS,,PC,Categorical,1,-2,0,,,,
HEATHOME,Num,Space heating equipment used,"1 Yes
0 No",SPACE HEATING,,Heating,Categorical,1,,,,,,
DNTHEAT,Num,"No space heating equipment, or unused space heating equipment; a derived variable","1  Has space heating equipment, but does not use it
2  Does not have any space heating equipment
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,,,,,,
HEATAPT,Num,Main heating equipment serves multiple housing units in building,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,-2,0,,,,
EQUIPM,Num,Main space heating equipment type,"3 Central furnace 
2 Steam or hot water system with radiators or pipes 
4 Central heat pump
13 Ductless heat pump, also known as a “mini-split”
5 Built-in electric units installed in walls, ceilings, baseboards, or floors
7 Built-in room heater burning gas or oil
8 Wood or pellet stove 
10 Portable electric heaters
99 Other 
-2 Not applicable",SPACE HEATING,Known,Heating,Categorical,1,,,,,,
FUELHEAT,Num,Main space heating fuel,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood or pellets
99 Other
-2 Not applicable",SPACE HEATING,Known,Heating,Categorical,1,,,,,,
EQUIPAGE,Num,Age of main space heating equipment,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,,,,,,
GEOHP,Num,Main central heat pump is geothermal or ground source,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,-2,0,,,,
EQUIPAUXTYPE,Num,Secondary space heating equipment type,"0 Home is heated but no secondary equipment used
10 Portable electric heaters
9 Fireplace
8 Wood or pellet stove
5 Built-in electric units installed in walls, ceilings, baseboards, or floors
13 Ductless heat pump, also known as a “mini-split”
99 Other 
-2 Not applicable, home is not heated",SPACE HEATING,,Heating,Categorical,1,,,,,,
EQUIPAUX,Num,Secondary space heating equipment used; a derived variable,"1 Yes, secondary equipment used
0 No, home is heated but secondary equipment not used
-2 Not applicable, home is not heated",SPACE HEATING,,Heating,Categorical,1,,,,,,
